title,release_year,genre,vote_average,popularity,vote_count,original_language,cluster
Gunpowder Milkshake,2021,"Action, Crime, Thriller",6.4,167.503,525,en,8
Beautiful Sisters: Flesh Slave,1986,"Crime, Horror",4.0,167.255,4,ja,5
Narco Sub,2021,"Action, Drama, Crime",6.7,166.671,183,en,1
Harry Potter and the Order of the Phoenix,2007,"Adventure, Fantasy, Mystery",7.7,166.458,16081,en,10
Legend,2015,"Crime, Thriller",6.9,165.617,2856,en,8
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,2021,"Animation, Comedy, Mystery, Family, Fantasy",8.2,165.462,279,en,0
Descendants: The Royal Wedding,2021,"TV Movie, Animation, Comedy, Family, Drama",7.0,165.257,97,en,0
Frozen II,2019,"Family, Animation, Adventure, Comedy, Fantasy",7.3,164.81,8052,en,0
Swim,2021,"Horror, Action",7.5,164.687,27,en,5
Mutation on Mars,2021,"Drama, Science Fiction",6.6,164.623,22,zh,6
Zone 414,2021,"Science Fiction, Thriller, Mystery",5.5,164.567,151,en,4
Harry Potter and the Deathly Hallows: Part 2,2011,"Fantasy, Adventure",8.1,163.782,16964,en,10
Avengers: Age of Ultron,2015,"Action, Adventure, Science Fiction",7.3,163.611,19473,en,11
Thor: Ragnarok,2017,"Action, Adventure, Fantasy, Science Fiction",7.6,163.564,17313,en,11
It Chapter Two,2019,"Horror, Fantasy",6.9,162.984,6739,en,5
The Lion King,1994,"Family, Animation, Drama",8.3,162.049,15064,en,0
King Richard,2021,"Drama, History",8.0,161.55,845,en,6
Last Night in Soho,2021,"Thriller, Horror, Mystery",7.5,161.493,1360,en,7
Batman Returns,1992,"Action, Fantasy",6.9,161.321,5075,en,10
The Twilight Saga: Eclipse,2010,"Adventure, Fantasy, Drama, Romance",6.2,161.157,7381,en,6
Wild Indian,2021,"Crime, Drama, Thriller",6.4,161.074,21,en,8
Project X,2012,Comedy,6.8,160.9,5048,en,3
The Protégé,2021,Action,6.6,160.697,531,en,2
Ida Red,2021,"Crime, Thriller, Drama, Action",5.9,160.579,25,en,8
The Haunting of Helena,2013,"Horror, Thriller",5.6,159.578,119,en,7
Vanguard,2020,"Action, Adventure, Crime",6.3,159.416,395,zh,10
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Adventure, Fantasy, Action",7.8,159.245,17095,en,10
"The Simpsons: The Good, the Bart, and the Loki",2021,"Animation, Comedy, Family",7.5,159.137,510,en,0
The Marksman,2021,"Action, Thriller, Crime",7.0,158.638,1118,en,8
Vicky and Her Mystery,2021,"Adventure, Family, Drama",7.3,158.14,287,fr,6
KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,2019,"Animation, Adventure, Comedy, Fantasy",8.4,158.094,362,ja,0
7 Prisoners,2021,"Drama, Crime",7.1,158.066,216,pt,6
11M,2022,Documentary,6.5,157.39,11,es,3
Seobok: Project Clone,2021,"Science Fiction, Action",7.6,156.421,110,ko,2
Shrek 2,2004,"Animation, Family, Comedy, Fantasy, Adventure",7.2,155.923,9736,en,0
Percy Jackson & the Olympians: The Lightning Thief,2010,"Adventure, Fantasy, Family",6.2,155.793,6222,en,10
